元素,Category I (mg/kg),Category II (mg/kg),Category III (mg/kg),备注
Aluminium 铝,5625,1406,70000,
Antimony 锑,45,11.3,560,
Arsenic 砷,3.8,0.9,47,
Barium 钡,1500,375,18750,
Boron 硼,1200,300,15000,
Cadmium 镉,1.3,0.3,17,
Chromium (III) 铬(III),37.5,9.4,460,
Chromium (VI) 铬(VI),0.02,0.005,0.053,(EU)2018/725修订
Cobalt 钴,10.5,2.6,130,
Copper 铜,622.5,156,7700,
Lead 铅,13.5,3.4,160,
Manganese 锰,1200,300,15000,
Mercury 汞,7.5,1.9,94,
Nickel 镍,75,18.8,930,
Selenium 硒,37.5,9.4,460,
Strontium 锶,4500,1125,56000,
Tin 锡,15000,3750,180000,
Organic tin 有机锡,0.9,0.2,12,
Zinc 锌,3750,938,46000,
