==============================================================
PEA-4139 检索 → 标准字段/父子级规范检查报告
==============================================================
源文件: PEA-4139 MSDS_CN 冠志 模板.docx
检出节数: 17
标准字段: 121/139 命中
父子级问题: 0 条
模板多余字段: 1 条

--- 标准字段逐项 (节 | 标准库父级 | 字段标签 | 状态) ---
  S0  | 0.1 页眉             | 页眉               | ✓ 字段
  S0  | 0.1 页眉             | Version          | ✓ 字段
  S0  | 0.1 页眉             | 产品名称             | ✓ 字段
  S0  | 0.2 页脚             | 页脚               | ✓ 字段
  S0  | 0.2 页脚             | 公司名称             | ✓ 字段
  S0  | 0.2 页脚             | 产品型号             | ✓ 字段
  S0  | 0.2 页脚             | 修订日期             | ✓ 字段
  S1  | 1.1 产品名称           | 产品名称             | ✓ 字段
  S1  | 1.1 产品名称           | 中文名称             | ✓ 字段
  S1  | 1.1 产品名称           | 化学品分类            | ✓ 字段
  S1  | (节下)               | 产品使用建议和使用限制      | ✓ 字段
  S1  | 1.3 供应商信息          | 供应商信息            | ✓ 字段
  S1  | 1.3 供应商信息          | 供应商名称            | ✓ 字段
  S1  | 1.3 供应商信息          | 供应商地址            | ✓ 字段
  S1  | 1.3 供应商信息          | 电话               | ✓ 字段
  S1  | 1.3 供应商信息          | 传真               | ✓ 字段
  S1  | 1.3 供应商信息          | 应急电话             | ✗ 未检出
  S1  | 1.3 供应商信息          | 电子邮件             | ✗ 未检出
  S2  | (节下)               | 紧急情况概述           | ✓ 字段
  S2  | (节下)               | GHS危险性类别         | ✓ 字段
  S2  | 2.3 GHS标签要素        | GHS标签要素          | ✓ 字段
  S2  | 2.3 GHS标签要素        | GHS象形图           | ✓ 字段
  S2  | 2.3 GHS标签要素        | 信号词              | ✓ 字段
  S2  | 2.3 GHS标签要素        | 标签有害成分           | ✗ 未检出
  S2  | 2.3 GHS标签要素        | 危险性说明            | ✓ 字段
  S2  | 2.3 GHS标签要素        | 防范说明             | ✓ 字段
  S2  | 2.6 其他危险           | 其他危险             | ✓ 字段
  S2  | 2.6 其他危险           | 物理和化学危险          | ✓ 字段
  S2  | 2.6 其他危险           | 健康危害             | ✓ 字段
  S2  | 2.6 其他危险           | 环境危害             | ✓ 字段
  S2  | 2.6 其他危险           | 其他危害             | ✓ 字段
  S3  | (节下)               | 产品类型             | ✓ 字段
  S3  | 3.2 成分             | 成分               | ✓ 字段
  S3  | 3.2 成分             | 化学品名称（1）         | ✓ 成分槽
  S3  | 3.2 成分             | CAS编号（1）         | ✓ 成分槽
  S3  | 3.2 成分             | 含量%（w/w）（1）      | ✓ 成分槽
  S3  | 3.2 成分             | 化学品名称（2）         | ✓ 成分槽
  S3  | 3.2 成分             | CAS编号（2）         | ✓ 成分槽
  S3  | 3.2 成分             | 含量%（w/w）（2）      | ✓ 成分槽
  S3  | 3.2 成分             | 化学品名称（3）         | ✗ 未检出
  S3  | 3.2 成分             | CAS编号（3）         | ✗ 未检出
  S3  | 3.2 成分             | 含量%（w/w）（3）      | ✗ 未检出
  S3  | 3.2 成分             | 化学品名称（4）         | ✗ 未检出
  S3  | 3.2 成分             | CAS编号（4）         | ✗ 未检出
  S3  | 3.2 成分             | 含量%（w/w）（4）      | ✗ 未检出
  S3  | 3.2 成分             | 化学品名称（5）         | ✗ 未检出
  S3  | 3.2 成分             | CAS编号（5）         | ✗ 未检出
  S3  | 3.2 成分             | 含量%（w/w）（5）      | ✗ 未检出
  S4  | (节下)               | 一般措施             | ✓ 字段
  S4  | (节下)               | 误服               | ✓ 字段
  S4  | (节下)               | 接触眼睛             | ✓ 字段
  S4  | (节下)               | 接触皮肤             | ✓ 字段
  S4  | (节下)               | 吸入               | ✓ 字段
  S5  | (节下)               | 合适的灭火剂           | ✓ 字段
  S5  | (节下)               | 不合适的灭火剂          | ✓ 字段
  S5  | (节下)               | 物质或混合物的特殊危害      | ✓ 字段
  S5  | (节下)               | 消防预防措施和保护设备      | ✓ 字段
  S6  | (节下)               | 个人预防措施、应急程序      | ✓ 字段
  S6  | (节下)               | 环境保护措施           | ✓ 字段
  S6  | (节下)               | 污染物收集和清除的方法      | ✓ 字段
  S7  | (节下)               | 安全操作防范           | ✓ 字段
  S7  | (节下)               | 安全储存条件           | ✓ 字段
  S8  | 8.1 暴露控制           | 暴露控制             | ✓ 字段
  S8  | 8.1 暴露控制           | 呼吸系统防护           | ✓ 字段
  S8  | 8.1 暴露控制           | 手部防护             | ✓ 字段
  S8  | 8.1 暴露控制           | 防护手套的合适材料        | ✓ 字段
  S8  | 8.1 暴露控制           | 氟化橡胶 –FKM        | ✓ 字段
  S8  | 8.1 暴露控制           | 丁基橡胶 –IIR        | ✓ 字段
  S8  | 8.1 暴露控制           | 丁腈橡胶 – NBR       | ✓ 字段
  S8  | 8.1 暴露控制           | 建议               | ✓ 字段
  S8  | 8.1 暴露控制           | 眼睛防护             | ✓ 字段
  S8  | 8.1 暴露控制           | 身体防护             | ✓ 字段
  S8  | 8.2 生物限值           | 生物限值             | ✓ 子表
  S8  | 8.2 生物限值           | 组分名称             | ✓ 子表
  S8  | 8.2 生物限值           | 标准来源             | ✓ 子表
  S8  | 8.2 生物限值           | 生物监测指标           | ✓ 子表
  S8  | 8.2 生物限值           | 生物限值             | ✓ 子表
  S8  | 8.2 生物限值           | 采样时间             | ✓ 子表
  S8  | (节下)               | 工程控制             | ✓ 字段
  S9  | (节下)               | 外观               | ✓ 字段
  S9  | (节下)               | 嗅觉阈值             | ✓ 字段
  S9  | (节下)               | pH值              | ✓ 字段
  S9  | (节下)               | 离子性              | ✓ 字段
  S9  | (节下)               | 熔点/凝固点           | ✗ 未检出
  S9  | (节下)               | 初沸点              | ✓ 字段
  S9  | (节下)               | 闪点               | ✓ 字段
  S9  | (节下)               | 蒸发速率             | ✓ 字段
  S9  | (节下)               | 可燃性              | ✓ 字段
  S9  | (节下)               | 燃烧值              | ✓ 字段
  S9  | (节下)               | 饱和蒸气压            | ✓ 字段
